"district","street_type","name"
"Залізничний","Вулиця","Гарматія Луки"
"Сихівський","Вулиця","Гашека Ярослава"
"Сихівський","Вулиця","Героїв Крут"
"Франківський","Вулиця","Героїв Майдану"
"Франківський","Вулиця","Героїв УПА"
"Галицький","Вулиця","Герцена Олександра"
"Залізничний","Вулиця","Гіацинтова"
"Франківський","Вулиця","Гіпсова"
"Залізничний","Вулиця","Гірника Олекси"
"Франківський","Вулиця","Глибока"
"Галицький","Вулиця","Глинки Михайла"
"Личаківський","Вулиця","Глиняна"
"Личаківський","Вулиця","Глинянський Тракт"
"Галицький","Вулиця","Глібова Леоніда"
"Личаківський","Вулиця","Глухий Кут"
"Личаківський","Вулиця","Гнатевича Богдана"
"Галицький","Вулиця","Гнатюка Володимира"
"Залізничний","Вулиця","Гніздовського Якова"
"Галицький","Вулиця","Гоголя Миколи"
"Залізничний","Вулиця","Годованця Микити"
"Личаківський","Вулиця","Голинського Михайла"
"Залізничний","Вулиця","Головатого Антіна"
"Залізничний","Вулиця","Головацького Якова"
"Залізничний","Вулиця","Голубина"
"Залізничний","Вулиця","Голубовича Сидора"
"Личаківський","Вулиця","Голубця Миколи"
"Галицький","Вулиця","Гонти Івана"
"Франківський","Вулиця","Горбачевського Івана"
"Шевченківський","Вулиця","Горбкова"
"Франківський","Вулиця","Гординських"
"Шевченківський","Вулиця","Гордієнка Костя"
"Личаківський","Вулиця","Горівська"
"Личаківський","Вулиця","Горіхова"
"Личаківський","Вулиця","Горліса-Горського Юрія"
"Шевченківський","Вулиця","Горобинна"
"Шевченківський","Вулиця","Городницька"
"Галицький","Вулиця","Городоцька"
"Залізничний","Вулиця","Городоцька"
"Франківський","Вулиця","Городоцька"
"Франківський","Вулиця","Горської Алли"
"Шевченківський","Вулиця","Господарська"
"Сихівський","Вулиця","Гостинна"
"Шевченківський","Вулиця","Грабова"
"Галицький","Вулиця","Грабовського Павла"
"Франківський","Вулиця","Граб'янки Григорія"
"Шевченківський","Вулиця","Гранична"
"Личаківський","Вулиця","Гранітна"
"Галицький","Вулиця","Гребінки Євгена"
"Шевченківський","Вулиця","Грекова Олександра"
"Галицький","Вулиця","Грецька"
"Залізничний","Вулиця","Гречана"
"Личаківський","Вулиця","Грибова"
"Галицький","Площа","Григоренка Петра"
"Галицький","Вулиця","Григоровича Івана"
"Личаківський","Вулиця","Грицая Дмитра"
"Шевченківський","Вулиця","Грінченка Бориса"
"Залізничний","Вулиця","Грузинська"
"Личаківський","Вулиця","Грушева"
"Галицький","Вулиця","Грушевського Михайла"
"Франківський","Вулиця","Грюнвальдська"
"Личаківський","Вулиця","Грядкова"
"Личаківський","Вулиця","Гулака-Артемовського Семена"
"Шевченківський","Вулиця","Гуні Дмитро"
"Галицький","Вулиця","Гуцульська"
"Залізничний","Вулиця","Гушалевича Івана"
"Залізничний","Вулиця","Ґеца Лева"
"Сихівський","Вулиця","Ґрунтова"
"Залізничний","Вулиця","Дагестанська"
"Залізничний","Вулиця","Дальня"
"Галицький","Площа","Данила Галицького"
"Шевченківський","Вулиця","Данилишина Дмитра"
"Шевченківський","Вулиця","Дашкевича Романа"
"Залізничний","Площа","Двірцева"
"Залізничний","Вулиця","Декарта Рене"
"Франківський","Вулиця","Демнянська"
"Шевченківський","Вулиця","Детька Дмитра"
"Шевченківський","Вулиця","Джерельна"
"Галицький","Вулиця","Дзиндри Євгенія"
"Шевченківський","Вулиця","Дивізійна"
"Залізничний","Вулиця","Диктова"
"Личаківський","Вулиця","Діаманда Галаса"
"Галицький","Вулиця","Дібровна"
"Залізничний","Вулиця","Дідушка Василя"
"Личаківський","Вулиця","Дніпрової Чайки"
"Личаківський","Вулиця","Дніпровська"
"Галицький","Вулиця","Дністровська"
"Личаківський","Вулиця","Довбуша Олекси"
"Галицький","Вулиця","Довга"
"Сихівський","Вулиця","Довженка Олександра"
"Залізничний","Вулиця","Дозвільна"
"Шевченківський","Вулиця","Долинського Луки"
"Личаківський","Вулиця","Долішня"
"Шевченківський","Вулиця","Донецька"
"Личаківський","Вулиця","Донцова Дмитра"
"Залізничний","Вулиця","Доробок"
"Личаківський","Вулиця","Дороша Юліана-Юрія"
"Галицький","Вулиця","Дорошенка Петра"
"Шевченківський","Вулиця","Досвітня"
"Шевченківський","Вулиця","Доступна"
"Сихівський","Вулиця","Драгана Михайла"
"Галицький","Вулиця","Драгоманова Михайла"
"Франківський","Вулиця","Драй-Хмари Михайла"
"Личаківський","Вулиця","Дріжджова"
"Залізничний","Вулиця","Дрогобицька"
"Галицький","Вулиця","Дрогобича Юрія"
"Галицький","Вулиця","Друкарська"
"Личаківський","Вулиця","Дублянська"
"Залізничний","Вулиця","Дубнівська"
"Личаківський","Вулиця","Дубова"
"Галицький","Вулиця","Дудаєва Джафара"
"Сихівський","Вулиця","Дунайська"
"Личаківський","Вулиця","Духновича Олександра"
"Залізничний","Вулиця","Дучимінської Ольги"
"Франківський","Вулиця","Емінеску Міхая"
"Сихівський","Вулиця","Енергетична"
"Залізничний","Вулиця","Естонська"
"Залізничний","Вулиця","Євського"
"Шевченківський","Вулиця","Єрошенка Василя"
"Залізничний","Вулиця","Єфремова Сергія"
"Шевченківський","Вулиця","Ждахи Амвросія"
"Личаківський","Вулиця","Жемчужникова Льва"
"Галицький","Вулиця","Жижки Яна"
"Залізничний","Вулиця","Житня"
"Залізничний","Вулиця","Житомирська"
"Шевченківський","Вулиця","Жнивна"
"Шевченківський","Вулиця","Жовківська"
"Франківський","Вулиця","Жуковського Василя"
"Залізничний","Вулиця","Журавлина"
"Залізничний","Вулиця","Заболотівська"
"Шевченківський","Вулиця","Заводська"
"Шевченківський","Вулиця","Загірна"
"Залізничний","Вулиця","Загородня"
"Шевченківський","Вулиця","Загула Дмитра"
"Личаківський","Вулиця","Заклинських"
"Залізничний","Вулиця","Залізнична"
"Франківський","Вулиця","Залізняка Максима"
"Личаківський","Вулиця","Залісна"
"Шевченківський","Вулиця","Замарстинівська"
"Шевченківський","Вулиця","Заміська"
"Залізничний","Вулиця","Замкнена"
"Шевченківський","Вулиця","Замкова"
"Личаківський","Вулиця","Заньковецької Марії"
"Шевченківський","Вулиця","Заозерна"
"Шевченківський","Провулок","Заозерний 1-й"
"Шевченківський","Провулок","Заозерний 2-й"
"Шевченківський","Провулок","Заозерний 3-й"
"Шевченківський","Провулок","Заозерний 4-й"
"Шевченківський","Провулок","Заозерний 5-й"
"Шевченківський","Провулок","Заозерний 6-й"
"Шевченківський","Вулиця","Запашна"
"Шевченківський","Вулиця","Заповітна"
"Личаківський","Вулиця","Запольської Габріелі"
"Галицький","Вулиця","Запорізька"
"Галицький","Вулиця","Зарицьких"
"Залізничний","Вулиця","Засядька Олександра"
"Залізничний","Вулиця","Затишна"
"Франківський","Вулиця","Захарієвича Юліана"
"Личаківський","Вулиця","Збаразька"
"Залізничний","Вулиця","Збиральна"
"Шевченківський","Вулиця","Збоїща"
"Личаківський","Вулиця","Зборівська"
"Шевченківський","Площа","Звенигородська"
"Франківський","Вулиця","Зв'язкова"
"Франківський","Вулиця","Здоров'я"
"Галицький","Вулиця","Зелена"
"Личаківський","Вулиця","Зелена"
"Сихівський","Вулиця","Зелена"
"Шевченківський","Вулиця","Земельна"
"Залізничний","Вулиця","Землеробна"
"Шевченківський","Вулиця","Зернова"
"Франківський","Вулиця","Зерова Миколи"
"Франківський","Вулиця","Зигзаг"
"Залізничний","Вулиця","Зимноводівська"
"Шевченківський","Вулиця","Зимова горішня"
"Шевченківський","Вулиця","Зимова долішня"
"Шевченківський","Вулиця","Зимова"
